rcclust length,rcclust %min sum
2,-16.47
4,-15.67
2,-9.34
1,-5.19
1,-1.41
2,-6.14
1,-6.99
5,-79.42
11,-82.33
5,-67.64
2,-21.21
1,-1.45
4,-23.26
7,-82.11
1,-10.93
2,-6.28
1,-4.42
1,-2.42
3,-8.54
1,-2.47
1,-0.53
1,-7.7
8,-81.26
2,-5.63
8,-140.43
1,-0.85
2,-21.66
2,-33.05
1,-3.01
1,-1.41
2,-9.54
6,-50.42
14,-233.51
4,-32.7
1,-16.53
1,-1.27
1,-11.52
3,-30.55
2,-9
9,-151.44
1,-3.11
1,-3.47
5,-49.76
3,-45.14
11,-245.43
2,-3.98
1,-1.9
2,-3.45
2,-16.05
1,-3.68
3,-17.84
1,-0.65
2,-18.18
1,-2.75
5,-66.05
13,-226.21
1,-1.64
1,-1.75
7,-56.32
9,-179.79
1,-0.14
2,-10.29
11,-220.6
1,-0.89
2,-11.39
1,-0.87
2,-14.58
1,-0.86
7,-37.73
9,-79.37
4,-38.13
1,-2.55
3,-4.81
1,-9.19
3,-19.35
3,-29.97
14,-262.64
5,-36.86
6,-86.19
1,-1.52
1,-11.04
5,-93.5
3,-20.65
4,-30.04
18,-365.04
1,-4.56
1,-3.08
1,-0.89
1,-0.78
1,-4.86
11,-49.44
1,-10.68
1,-8.89
4,-13.35
4,-54.65
4,-25.47
1,-1.93
1,-3.34
1,-9.11
4,-40.26
1,-0.25
1,-4.64
4,-22.44
3,-16.38
1,-2.06
7,-152.23
2,-27.52
1,-1.8
5,-27.16
1,-3.38
1,-12.57
1,-0.41
2,-4.12
6,-94.95
1,-3.07
1,-11.81
1,-4.51
1,-2.4
11,-138.36
3,-50.56
2,-18.8
1,-1.23
1,-17.13
1,-0.27
1,-0.27
1,-0.8
3,-31.53
1,-3.87
6,-61.99
1,-7.03
16,-491.33
1,-2.14
1,-6.01
2,-1.72
2,-9.51
3,-36.67
2,-16.07
1,-1.75
1,-2.23
1,-2.09
1,-2.89
2,-16.67
5,-56
2,-7.9
2,-19.31
2,-15.97
2,-14.3
5,-46.41
1,-0.33
1,-2.64
1,-4.99
1,-1.65
1,-2.55
4,-68.33
4,-6.51
3,-10.06
2,-13.59
12,-192.4
1,-7.35
2,-18.61
17,-306.99
4,-42.42
4,-54.28
1,-0.31
4,-18.57
1,-13.3
2,-11.24
2,-6.15
1,-2.15
1,-2.7
2,-15.12
20,-469.17
6,-55.77
3,-24.73
4,-10.73
1,-1.85
5,-24.33
2,-0.95
1,-2.6
2,-10.66
5,-55.03
5,-54.62
1,-2.5
1,-0.25
1,-1.2
11,-114.79
1,-1.38
1,-11.12
1,-3.85
11,-141.69
1,-1.85
18,-289.94
3,-13.69
1,-5.52
1,-2.66
1,-12.87
3,-23.89
1,-0.35
8,-172.6
8,-118.07
1,-4.59
1,-4.19
1,-1.98
2,-19.55
3,-24.28
1,-2.85
17,-238.7
4,-28.73
3,-10.72
2,-14.9
3,-23.05
2,-11.56
1,-2.27
12,-73.05
10,-110.97
2,-7.08
16,-180.22
1,-0.11
3,-16.73
4,-31.26
2,-11.75
3,-13.29
2,-5.54
1,-1.62
1,-0.27
18,-423.74
1,-0.84
10,-101.02
1,-0.66
8,-131.39
3,-21.7
3,-46.93
3,-4.3
3,-13.11
1,-10.51
1,-7.08
2,-16.55
1,-6.01
4,-14.48
19,-303.28
3,-17
3,-6.41
3,-6.97
12,-150.91
6,-62.21
1,-3.25
1,-6.46
4,-9.72
2,-4.28
1,-1.22
2,-0.08
3,-19.99
2,-3.95
1,-1.13
12,-357.41
2,-3.88
1,-0.47
1,-2.21
3,-17.91
1,-4.59
1,-1.06
7,-52.5
1,-2.96
1,-3.47
9,-134.82
3,-23.4
8,-96.69
1,-0.41
3,-6.89
5,-58.68
4,-41.22
27,-620.67
2,-10.13
1,-0.64
6,-67.01
3,-39.39
2,-1.27
1,-2.39
4,-55.88
1,-5.96
1,-2.45
4,-22.8
2,-5.82
11,-211.03
1,-0.5
8,-76.95
1,-13.37
2,-6.94
1,-3.71
7,-82.83
3,-11.96
6,-99.16
5,-47.9
1,-4.23
1,-0.66
1,-0.17
1,-0.33
3,-35.82
2,-5.72
2,-6.98
2,-11.36
5,-24.78
17,-287.6
2,-6.16
6,-39.34
4,-23.42
12,-113.05
1,-2.1
2,-36.48
1,-3.37
1,-11.48
3,-32.66
1,-1.25
1,-2.91
5,-29.06
2,-8.53
9,-112.56
4,-21.62
1,-2.27
10,-194.65
1,-1.3
9,-153.11
3,-8.08
5,-40.61
1,-3.92
2,-0.2
1,-3.1
1,-1.3
1,-2.37
4,-19.58
1,-4.04
3,-22.75
3,-9.2
2,-16.75
7,-113.99
1,-7.85
3,-19.83
11,-143.39
9,-67.49
3,-12.63
2,-3.82
20,-262.78
1,-0.91
9,-198.72
4,-8.86
1,-6.35
7,-140.58
5,-28.8
1,-1.65
6,-62.95
2,-8.41
7,-62.98
1,-0.34
1,-10.16
3,-18.9
4,-37.38
3,-34.7
9,-64.68
3,-26.52
1,-0.44
3,-9.1
1,-2.32
1,-10.14
1,-3.2
1,-4.37
1,-2.03
1,-0.25
1,-2.28
1,-1.1
6,-40.54
1,-5.61
1,-0.17
14,-201.45
4,-36.37
9,-129.75
2,-11.36
1,-11.44
3,-22.41
1,-1.08
4,-47.2
2,-11.48
3,-21.21
2,-1.82
1,-2.17
1,-1.48
2,-1.8
5,-57.1
1,-1.61
8,-78.51
1,-0.02
2,-10.51
12,-201.33
12,-138.35
5,-47.6
2,-6.84
22,-329.3
7,-62.49
24,-737.65
5,-44.84
10,-91.28
3,-30.11
2,-2.79
2,-11.37
18,-542.68
1,-4.02
1,-6.25
1,-0.37
1,-1.9
1,-4.01
1,-12.51
14,-481.3
3,-5.99
1,-3.96
2,-14.01
1,-2.01
2,-26.91
4,-42.61
2,-2.57
1,-2.33
2,-9.25
5,-77.71
1,-5.59
2,-11.48
1,-1.18
1,-3.39
8,-132.74
17,-382.56
1,-2.28
21,-274.27
13,-224.14
3,-16.38
2,-29.84
2,-5.19
2,-8.62
4,-31.24
2,-18.79
10,-144.39
2,-10.32
3,-27
1,-0.19
1,-4.36
1,-4.29
3,-22.13
1,-2.08
1,-2.58
2,-7.23
1,-8.12
3,-70.04
8,-75.98
2,-15.85
1,-0.64
18,-605.47
1,-4.83
3,-7.78
3,-60.43
9,-77.05
1,-5.38
6,-39.6
2,-8.39
1,-1.26
6,-55.96
1,-5.44
5,-51.81
2,-3.42
13,-442.48
5,-101.41
1,-3.62
1,-2.03
3,-18.07
4,-30.53
14,-335.58
1,-1.52
1,-0.26
1,-7.82
8,-86.81
1,-1.65
2,-6.84
2,-5.84
4,-26.44
10,-69.12
1,-1.82
1,-0.87
2,-18.4
3,-36.65
5,-42.94
1,-1.99
1,-1.67
1,-6.3
8,-47.23
2,-11.29
5,-28.65
7,-65.65
3,-5.3
6,-107.81
3,-28.23
4,-16.53
1,-3.16
1,-5.17
23,-869.9
9,-77.3
23,-549.09
3,-46.5
8,-82.17
1,-1.96
22,-1000.16
1,-3.16
2,-1.76
9,-114.57
1,-2.47
4,-31.73
8,-141.91
7,-61.95
1,-0.89
3,-20.26
48,-1450.72
4,-37.58
2,-10.8
34,-500.61
1,-0.66
1,-9.18
22,-667.87
46,-1442.9
1,-0.62
2,-2.08
1,-0.7
2,-21.34
6,-97.51
2,-13.77
17,-433.73
1,-0.38
2,-4.71
2,-8.58
22,-365.91
61,-2137.62
19,-609.25
1,-1.35
4,-43.93
30,-779.83
1,-2.78
2,-1.58
29,-838.39
2,-21.01
7,-126.63
1,-0.71
5,-26.4
1,-1.86
6,-36.41
2,-12.23
1,-7.02
3,-9.05
1,-11.49
1,-2.24
1,-5.57
1,-7.89
1,-2.02
1,-10.36
6,-38.61
1,-1.76
18,-322.17
2,-5.08
3,-14.56
6,-24.39
1,-1.77
3,-23.03
7,-94.06
5,-21.31
1,-0.91
3,-21.09
1,-0.8
1,-3.67
1,-2.99
4,-20.26
2,-23.12
1,-4.14
1,-1.83
1,-1.13
1,-6.32
17,-210.85
2,-23.09
4,-29.59
2,-7.81
1,-1.86
1,-2.13
2,-18.44
1,-3.14
2,-2.8
2,-3.72
3,-16.87
7,-31.41
4,-31.84
16,-422.69
3,-28.85
8,-68.68
1,-1.34
3,-14.66
10,-102.44
2,-6.39
4,-66.15
1,-1.41
2,-14.23
1,-0.99
2,-4.41
1,-2.34
1,-6.04
7,-108.09
1,-1.86
3,-10.52
2,-9.78
7,-65.01
1,-5.34
13,-197.96
2,-15.78
2,-13.46
1,-2.07
2,-17.28
1,-3.79
3,-25.08
1,-3.96
1,-1.87
3,-35.84
2,-1.54
7,-101.35
10,-225.84
3,-1.77
3,-19.94
1,-2.49
8,-74.53
1,-1.4
2,-10.96
1,-0.53
10,-89.91
4,-47.03
2,-16.06
1,-5.31
12,-272.28
2,-4.85
7,-121.72
2,-9.44
1,-0.75
2,-8.92
28,-973.33
1,-1.52
1,-1.87
1,-7.85
6,-55.52
1,-3.49
4,-12.39
31,-486.04
8,-123.59
2,-9.31
2,-6.79
4,-74.37
4,-28.63
3,-18.09
10,-98.49
1,-2.79
2,-11.95
17,-414.64
31,-1052.78
2,-15.64
1,-1.41
12,-182.71
3,-15.81
5,-47.59
11,-171.72
5,-67.33
13,-225.39
5,-19.38
17,-416.38
1,-2.64
7,-127.44
24,-505.4
4,-22.78
2,-9.05
3,-19.59
3,-27.94
1,-2.83
19,-482.88
21,-637.16
5,-55.07
1,-7.84
31,-456.59
6,-87.33
3,-30.52
13,-228.05
1,-1.7
2,-9.26
1,-0.63
1,-4.32
3,-16.93
12,-234.56
1,-1.09
6,-116.96
4,-67.38
1,-12.12
1,-3.34
2,-6.91
1,-2.74
18,-298.25
2,-9.07
2,-12.31
4,-20.43
2,-1.56
2,-11.22
1,-5.01
2,-18.98
1,-0.49
3,-13.04
6,-59.29
3,-28.58
1,-2.14
14,-234.42
2,-12.8
2,-8.8
1,-0.49
1,-2.15
2,-13.67
2,-7.42
2,-9.06
3,-7.43
1,-6.26
18,-328.62
1,-7.84
3,-32.56
2,-5.36
10,-126.43
3,-9.31
3,-28.08
2,-23.57
6,-60.77
2,-13.2
2,-2.97
2,-18.52
1,-4.48
1,-7.13
5,-45.94
1,-1.75
1,-2.03
7,-190.76
1,-17.05
4,-12.58
4,-65.52
4,-25.73
14,-327.64
1,-6.55
6,-93.37
10,-156.79
1,-17.57
9,-88.69
1,-1.95
3,-7.2
6,-90.94
4,-31.71
2,-6.79
2,-6.46
4,-45.6
5,-50.17
1,-6.56
1,-6.74
2,-6.99
8,-135.84
1,-12.4
1,-0.88
1,-0.3
2,-5.44
1,-2.55
2,-19.9
3,-41.95
1,-0.87
