rcclust length,rcclust %min sum
1,-2.8
1,-4.42
1,-2.42
3,-8.54
1,-2.47
2,-17.69
1,-3.54
2,-14.7
1,-6.06
4,-71.55
1,-2.51
11,-245.43
2,-3.98
1,-1.9
2,-3.45
2,-16.05
1,-3.68
3,-17.84
7,-125.5
1,-2.75
1,-0.71
1,-4.78
4,-50.13
9,-76.38
1,-9.11
4,-40.26
1,-0.25
1,-4.64
4,-22.44
3,-16.38
7,-152.23
2,-27.52
1,-1.8
5,-27.16
1,-3.38
1,-12.57
1,-0.41
2,-4.12
6,-94.95
1,-3.87
6,-61.99
1,-7.03
4,-42.42
2,-4.95
1,-2.45
1,-4.67
1,-0.21
3,-36.24
1,-1.27
4,-54.28
1,-0.31
4,-18.57
1,-13.3
12,-194.21
1,-1.68
3,-3.97
2,-3.04
1,-2.29
1,-13.38
4,-24.49
3,-6.28
1,-4.15
11,-167.53
2,-5.77
1,-1.01
5,-37.33
1,-0.58
2,-9.93
1,-3.66
4,-19.99
1,-14.91
1,-0.24
1,-3.58
1,-2.6
2,-10.66
5,-55.03
5,-54.62
1,-2.5
1,-0.25
1,-1.2
11,-114.79
1,-1.38
1,-11.12
1,-3.85
11,-141.69
2,-2
2,-3.76
1,-0.15
1,-0.54
9,-111.42
4,-32.14
2,-6.7
4,-9.6
1,-0.16
1,-2.82
2,-8.38
1,-0.33
2,-3.56
2,-7.19
4,-6.67
10,-90.09
5,-46.86
1,-2.9
1,-0.2
1,-0.27
6,-88.01
2,-18.19
3,-16.97
1,-11.54
3,-23.05
2,-11.56
1,-2.27
12,-73.05
7,-98.42
4,-26.08
8,-63.18
1,-1.33
1,-0.39
5,-44.86
2,-10.57
2,-3.96
3,-43.71
1,-1.67
1,-2
8,-76.58
2,-7
6,-54.43
2,-10.86
1,-4.27
3,-39.39
2,-1.27
1,-2.39
4,-55.88
1,-5.96
1,-2.45
4,-22.8
2,-5.82
11,-211.03
1,-0.5
8,-76.95
1,-13.37
2,-6.94
1,-2.1
2,-36.48
1,-3.37
1,-11.48
3,-32.66
1,-1.25
2,-4.58
16,-143.13
1,-3.81
8,-82.42
18,-320.94
1,-1.53
6,-38.3
1,-2.57
10,-100.26
11,-113.05
12,-386
1,-0.23
1,-1.88
16,-225.95
1,-5.21
3,-3.75
3,-34.7
9,-64.68
3,-26.52
1,-0.44
3,-9.1
1,-2.32
1,-10.14
1,-3.2
1,-4.37
1,-2.03
1,-0.25
1,-2.28
1,-1.1
6,-40.54
1,-5.61
1,-0.17
5,-117.83
2,-10.84
6,-20.94
1,-0.43
4,-9.76
3,-7.47
1,-1.81
3,-15.55
5,-62.18
1,-1.59
1,-8.95
1,-0.61
4,-14.57
1,-5.53
1,-0.73
3,-25.67
1,-5.79
4,-23.97
1,-2.23
6,-72.54
4,-19.63
1,-9.18
1,-1.96
17,-300.57
1,-0.12
2,-12.96
1,-4.72
1,-4.48
1,-2.95
4,-26.64
1,-11.93
8,-143.55
4,-31.49
1,-6.27
3,-4.08
6,-40.72
2,-8.85
8,-42.22
4,-30.23
19,-366.59
7,-61.7
1,-1.82
1,-0.87
2,-18.4
3,-36.65
5,-42.94
1,-1.99
1,-1.67
1,-6.3
8,-47.23
4,-12.37
2,-11.29
5,-28.65
7,-65.65
3,-5.3
6,-107.81
3,-28.23
1,-0.9
1,-6.22
1,-2.62
1,-1.86
1,-3.69
2,-6.9
3,-6.8
3,-43.64
16,-132.69
12,-217.72
9,-59.59
1,-0.08
2,-6.29
1,-5.53
